team,sketch_title,writer,link,upload_date
212,Judy Tylenol,Kerry McGuire,https://www.youtube.com/watch?v=7SBZJCm6tYw,20140521
212,Jury Selection,Erik Tanouye,https://www.youtube.com/watch?v=b3EgqFia2Fk,20140128
212,Kalisha Who Whispers in Death's Ear and Grins,Patrick Clair,https://www.youtube.com/watch?v=79RZhBd9OEA,20150425
212,Kid Kibble,Kerry McGuire,https://www.youtube.com/watch?v=_C8nXWdUzoE,20140315
212,Let's Meet Our Contestants,Achilles Stamatelaky,https://www.youtube.com/watch?v=s2j50d0NmVo,20140522
212,Library Hammering,Georgie Aldaco,https://www.youtube.com/watch?v=0sG_IwljQd4,20150302
212,Local Adoption,Kassia Miller,https://www.youtube.com/watch?v=tB35CdVKS8w,20131004
212,Long Version Grandma,Ryan Hunter,https://www.youtube.com/watch?v=1rY_Y0OfAiI,20150425
212,Map To Destroy The World,Kassia Miller,https://www.youtube.com/watch?v=hM_I9Cwnab0,20140315
212,Mirror Angiboo,Kerry McGuire,https://www.youtube.com/watch?v=I9uPltnnpCk,20140415
212,Mom's Boutique,Kerry McGuire,https://www.youtube.com/watch?v=3HouNEkk4sM,20140128
212,Morning Science Show Segment - Best Of (212),David Guzman,https://www.youtube.com/watch?v=Fj1oS9J6HSg,20151125
212,Morning Show Science Segment,David Guzman,https://www.youtube.com/watch?v=bhgTbJNbIf0,20150630
212,Movember,no writer,https://www.youtube.com/watch?v=cLLUywPEPX0,20131126
212,Never Have I Ever,Ari Scott and Kassia Miller,https://www.youtube.com/watch?v=4dtZj-jja5o,20140614
212,NEW CAR,Tim Martin,https://www.youtube.com/watch?v=-SaadTReSeA,20131210
212,Nigerian Girl,Kassia Miller,https://www.youtube.com/watch?v=5oyeFavadlo,20140614
212,Nihilist Coach,Achilles Stamatelaky,https://www.youtube.com/watch?v=8OrAhQwfF0o,20141104
212,Nobody Wants To Purge Me,Achilles Stamatelaky,https://www.youtube.com/watch?v=rdt4j9jBX3c,20140925
212,Noir Detective Speed Date,Ari Scott,https://www.youtube.com/watch?v=u0fpdmTqpHM,20140724
212,Office Lunch,David Guzman,https://www.youtube.com/watch?v=awaw9XSFJFU,20141104
212,Old Dad,Erik Tanouye,https://www.youtube.com/watch?v=-jd1MsYktec,20140414
212,Old Maid,Kerry McGuire,https://www.youtube.com/watch?v=v2gS0pRKw0k,20131008
212,Old Yeller Coffee Pot - Best Of (212),Gwynna Forgha,https://www.youtube.com/watch?v=cEW_m44ifKA,20151125
212,OPRAH AUDITIONS FOR LEE DANIELS' THE BUTLER,Ari Scott,https://www.youtube.com/watch?v=aUBmnYfnOvQ,20131004
212,Politician Records Messages,Achilles Sta,https://www.youtube.com/watch?v=ZUcuZ-sgOaE,20150327
212,Pony,Jo Firestone,https://www.youtube.com/watch?v=zFE_EDIprQY,20140723
212,Pope Has Gum Stuck In His Hair,David Guzman,https://www.youtube.com/watch?v=5gWVnpcYh_o,20150302
212,POST PREGNANCY WORKOUT,Ari Scott,https://www.youtube.com/watch?v=Rx_0_LKa0mk,20140828
212,President Got An Earring,Georgie Aldaco,https://www.youtube.com/watch?v=694hpza5YBw,20150302
212,Private Eyes Recording,Achilles Stamatelaky,https://www.youtube.com/watch?v=E_VBAp5AZKQ,20141104
212,Rachel Ray Audience Loves Cheese,no writer,https://www.youtube.com/watch?v=RyZ2OXcpVlk,20150327
212,Rib Doctor,no writer,https://www.youtube.com/watch?v=a8t1bUMaLxc,20150302
212,Ripped Whales,Erik Tanouye,https://www.youtube.com/watch?v=jw6RFlFhcWk,20140614
212,Roast Of Aaron - Best Of (212),Nikki Palumbo,https://www.youtube.com/watch?v=WeWtFKmkc90,20151125
212,Roast of Aaron,Nikki Palumbo,https://www.youtube.com/watch?v=xTAoKcHuUWs,20151001
212,Rob Plays Eddie Plays Charlotte,Patrick Clair,https://www.youtube.com/watch?v=J_SbRJAfSNU,20151001
212,Rock Imagination,Georgie Aldaco,https://www.youtube.com/watch?v=BiXY_XXosVY,20150103
212,ROSA PARKS,Kassia Miller,https://www.youtube.com/watch?v=gP_OvfmIkag,20140219
212,Sad Googles,Achilles Stamatelaky,https://www.youtube.com/watch?v=hPwPd0KLltw,20140128
212,SAME CLOTHES,Erik Tanouye,https://www.youtube.com/watch?v=1PuQvgBZDac,20140828
212,Second Chance Wedding,Achilles Stamatelaky,https://www.youtube.com/watch?v=z0sfWSXjYcE,20150103
212,Sermon,David Guzman,https://www.youtube.com/watch?v=YAMrvNw_JHI,20140925
212,Sexual Outback,Patrick Clair,https://www.youtube.com/watch?v=sOZ-bFXx4OI,20150327
212,Shit Job Interview,Kerry McGuire,https://www.youtube.com/watch?v=kLQaN1iJgww,20140414
212,Skateboard Witness,Achilles Stamatelaky,https://www.youtube.com/watch?v=QBX5TljE2Bs,20140724
212,Smaller Boob,no writer,https://www.youtube.com/watch?v=jD0MevVUJus,20131114
212,Surprise Party,Kerry McGuire,https://www.youtube.com/watch?v=ZVLXaTmIH7E,20141104
